ImageID,label
0,white
1,white
2,white
3,white
4,white
5,white
6,black
7,black
8,black
9,white
10,black
11,white
12,black
13,white
14,white
15,white
16,white
17,black
18,black
19,black
20,black
21,white
22,white
23,black
24,black
25,white
26,black
27,black
28,white
29,black
30,white
31,white
32,black
33,white
34,white
35,black
36,white
37,black
38,white
39,black
40,black
41,white
42,white
43,white
44,white
45,black
46,white
47,black
48,white
49,white
50,black
51,black
52,white
53,white
54,black
55,black
56,white
57,black
58,black
59,white
60,black
61,white
62,black
63,white
64,white
65,black
66,white
67,black
68,white
69,black
70,black
71,white
72,white
73,black
74,white
75,black
76,white
77,white
78,black
79,white
80,black
81,black
82,black
83,black
84,black
85,black
86,white
87,white
88,white
89,black
90,black
91,black
92,black
93,white
94,black
95,black
96,white
97,white
98,white
99,white
100,white
101,black
102,white
103,white
104,black
105,white
106,black
107,white
108,white
109,white
110,white
111,white
112,white
113,white
114,black
115,white
116,white
117,black
118,black
119,white
120,white
121,white
122,white
123,white
124,black
125,black
126,black
127,white
128,black
129,black
130,black
131,white
132,black
133,black
134,black
135,black
136,white
137,white
138,white
139,white
140,black
141,white
142,white
143,white
144,white
145,white
146,white
147,white
148,black
149,black
150,white
151,black
152,white
153,black
154,white
155,white
156,white
157,white
158,black
159,white
160,white
161,white
162,white
163,white
164,black
165,white
166,white
167,black
168,white
169,white
170,white
171,white
172,white
173,white
174,white
175,black
176,white
177,white
178,white
179,black
180,black
181,black
182,white
183,black
184,white
185,black
186,black
187,black
188,white
189,white
190,white
191,white
192,black
193,black
194,black
195,black
196,white
197,black
198,white
199,white
200,black
201,white
202,black
203,black
204,white
205,black
206,black
207,black
208,white
209,black
210,black
211,white
212,black
213,black
214,white
215,white
216,black
217,white
218,black
219,white
220,white
221,black
222,white
223,black
224,white
225,white
226,white
227,black
228,white
229,white
230,black
231,black
232,white
233,white
234,black
235,white
236,white
237,white
238,white
239,white
240,white
241,white
242,black
243,black
244,white
245,black
246,black
247,white
248,white
249,black
250,black
251,black
252,black
253,white
254,white
255,white
256,black
257,white
258,black
259,white
260,white
261,white
262,black
263,black
264,white
265,black
266,black
267,black
268,black
269,black
270,white
271,black
272,black
273,white
274,black
275,white
276,white
277,white
278,black
279,white
280,white
281,black
282,black
283,white
284,white
285,black
286,black
287,white
288,white
289,black
290,black
291,white
292,white
293,black
294,black
295,black
296,black
297,black
298,black
299,black
300,white
301,white
302,white
303,black
304,white
305,white
306,black
307,black
308,black
309,white
310,white
311,white
312,white
313,black
314,white
315,white
316,black
317,black
318,black
319,black
320,white
321,white
322,black
323,black
324,white
325,white
326,black
327,white
328,white
329,black
330,white
331,black
332,white
333,black
334,black
335,black
336,white
337,white
338,black
339,white
340,black
341,white
342,black
343,white
344,white
345,white
346,white
347,black
348,white
349,white
350,white
351,white
352,white
353,black
354,white
355,white
356,white
357,white
358,white
359,white
360,white
361,white
362,white
363,black
364,white
365,white
366,black
367,white
368,white
369,black
370,white
371,white
372,black
373,white
374,white
375,black
376,black
377,black
378,black
379,black
380,white
381,black
382,black
383,black
384,black
385,white
386,black
387,white
388,white
389,white
390,white
391,white
392,black
393,black
394,white
395,white
396,white
397,white
398,black
399,black
400,white
401,white
402,white
403,white
404,white
405,white
406,white
407,white
408,black
409,white
410,black
411,white
412,white
413,white
414,white
415,white
416,black
417,black
418,black
419,white
420,black
421,white
422,white
423,white
424,white
425,black
426,black
427,white
428,white
429,black
430,white
431,white
432,white
433,black
434,white
435,black
436,black
437,white
438,white
439,white
440,black
441,black
442,white
443,white
444,white
445,black
446,black
447,white
448,black
449,white
450,white
451,black
452,white
453,black
454,white
455,black
456,white
457,white
458,white
459,white
460,black
461,black
462,black
463,white
464,black
465,black
466,white
467,white
468,white
469,white
470,white
471,black
472,white
473,black
474,white
475,white
476,black
477,black
478,white
479,white
480,white
481,black
482,white
483,white
484,white
485,white
486,black
487,black
488,white
489,black
490,black
491,white
492,black
493,black
494,white
495,white
496,black
497,black
498,black
499,black
500,black
501,white
502,black
503,black
504,white
505,black
506,black
507,black
508,black
509,white
510,white
511,black
512,white
513,black
514,black
515,white
516,black
517,white
518,white
519,white
520,white
521,black
522,black
523,black
524,black
525,white
526,white
527,white
528,black
529,black
530,black
531,black
532,white
533,black
534,white
535,white
536,black
537,black
538,black
539,white
540,white
541,black
542,white
543,black
544,black
545,black
546,white
547,white
548,white
549,black
550,black
551,white
552,black
553,white
554,white
555,black
556,white
557,white
558,white
559,white
560,white
561,black
562,white
563,white
564,white
565,white
566,black
567,white
568,white
569,white
570,white
571,black
572,white
573,black
574,black
575,black
576,white
577,black
578,white
579,white
580,black
581,black
582,white
583,white
584,white
585,black
586,white
587,black
588,black
589,black
590,white
591,white
592,black
593,black
594,black
595,white
596,black
597,black
598,black
599,black
600,white
601,black
602,white
603,black
604,white
605,white
606,black
607,black
608,white
609,white
610,white
611,white
612,black
613,white
614,white
615,black
616,black
617,white
618,black
619,white
620,black
621,black
622,black
623,black
624,black
625,white
626,white
627,black
628,white
629,black
630,black
631,white
632,white
633,black
634,black
635,white
636,black
637,black
638,white
639,black
640,white
641,black
642,black
643,black
644,white
645,white
646,white
647,white
648,black
649,black
650,white
651,white
652,white
653,white
654,white
655,black
656,white
657,white
658,black
659,white
660,white
661,white
662,white
663,white
664,white
665,black
666,black
667,white
668,white
669,black
670,black
671,black
672,white
673,white
674,white
675,white
676,black
677,black
678,white
679,white
680,white
681,black
682,white
683,white
684,white
685,white
686,white
687,black
688,black
689,white
690,white
691,black
692,black
693,black
694,black
695,white
696,white
697,black
698,white
699,black
700,white
701,white
702,white
703,white
704,white
705,black
706,black
707,black
708,white
709,black
710,black
711,black
712,black
713,black
714,white
715,white
716,white
717,white
718,black
719,black
720,black
721,black
722,white
723,black
724,black
725,white
726,black
727,black
728,white
729,black
730,white
731,white
732,black
733,black
734,black
735,white
736,black
737,white
738,black
739,white
740,black
741,white
742,white
743,black
744,white
745,white
746,white
747,white
748,white
749,white
750,white
751,white
752,black
753,white
754,black
755,white
756,black
757,white
758,white
759,white
760,white
761,white
762,white
763,black
764,white
765,white
766,white
767,white
768,white
769,white
770,black
771,white
772,white
773,black
774,black
775,white
776,black
777,white
778,white
779,black
780,black
781,white
782,white
783,white
784,black
785,black
786,white
787,white
788,black
789,black
790,black
791,white
792,white
793,black
794,white
795,black
796,black
797,white
798,white
799,black
800,black
801,white
802,black
803,white
804,black
805,black
806,white
807,black
808,black
809,white
810,black
811,black
812,white
813,white
814,black
815,white
816,white
817,white
818,black
819,black
820,white
821,black
822,white
823,white
824,black
825,black
826,white
827,black
828,black
829,black
830,white
831,black
832,white
833,white
834,white
835,white
836,white
837,black
838,black
839,white
840,white
841,black
842,white
843,white
844,white
845,black
846,black
847,white
848,white
849,black
850,white
851,white
852,white
853,black
854,black
855,black
856,black
857,black
858,black
859,white
860,black
861,white
862,black
863,black
864,white
865,white
866,white
867,white
868,white
869,black
870,white
871,white
872,black
873,white
874,white
875,black
876,white
877,white
878,black
879,white
880,white
881,white
882,white
883,black
884,white
885,white
886,white
887,white
888,black
889,black
890,white
891,white
892,black
893,black
894,white
895,black
896,white
897,black
898,white
899,black
900,black
901,white
902,white
903,white
904,white
905,white
906,black
907,white
908,black
909,black
910,black
911,white
912,black
913,white
914,white
915,white
916,black
917,white
918,white
919,white
920,white
921,black
922,white
923,white
924,black
925,black
926,white
927,black
928,black
929,white
930,black
931,white
932,black
933,black
934,white
935,black
936,black
937,white
938,white
939,white
940,white
941,white
942,black
943,white
944,black
945,black
946,black
947,white
948,black
949,white
950,black
951,white
952,black
953,black
954,black
955,black
956,white
957,black
958,white
959,white
960,white
961,black
962,white
963,white
964,white
965,white
966,white
967,white
968,white
969,black
970,white
971,black
972,white
973,white
974,white
975,black
976,black
977,white
978,white
979,white
980,white
981,white
982,white
983,white
984,black
985,white
986,black
987,white
988,black
989,black
990,black
991,white
992,black
993,white
994,black
995,white
996,white
997,white
998,white
999,white
1000,white
1001,white
1002,black
1003,black
1004,white
1005,white
1006,white
1007,white
1008,white
1009,black
1010,black
1011,black
1012,black
1013,black
1014,black
1015,white
1016,black
1017,black
1018,white
1019,white
1020,white
