ImageID,label
0,7r/2k1n2b/p6P/P7/4P3/N6P/r7/3K2q1
1,b1r5/prpk1p1p/1p2p2P/6R1/P1nP2q1/1P2P3/2PK1P2/R3N2B
2,1r1qk2r/1pp5/p2p2pN/4p3/5p2/bb1PBPP1/1Pn1PNBP/RQ1K1R2
3,3k2n1/7p/qr3N2/p1p1P1p1/2P1N1P1/P1K3BB/4r2P/R7
4,3r1k1r/7n/1pBPpn1b/1P5P/p2R1P2/P3P2p/7K/1b2B1R1
5,6R1/8/1P5k/1P2P2p/4Pp2/p4P2/6K1/N5R1
6,7r/2k5/n1p3P1/1p1Q3p/4N1BP/B1K1nP2/7b/1q3q2
7,4k3/6qN/4brpn/p1pBnpPP/p2P3R/P3P3/2P1K3/R1N2Q2
8,1rb1kb1r/p4p2/6p1/1ppn1PqP/1NP1p1P1/3PP3/PP4K1/R1B2R2
9,rn2k2r/3bB2p/p2n1p2/2p5/2P5/p1NP4/2B2KQ1/bN3R2
10,rnb1k1r1/pp3pp1/2p1p3/3B2bp/PP2nPq1/R3P1PP/2PPN1R1/1NBQK3
11,2n2B2/2k5/1pp5/1B1p1p1p/P1Pq1P1P/P7/2R2P2/1K5R
12,rn5b/p3k3/8/1P1Q2P1/P1p2R1q/B1PB3p/1R1P1P2/6K1
13,5b2/B2R2rn/2P2p1k/P1r1p3/1PB4p/K6R/4bpP1/8
14,1k3b2/3rp1n1/1q1pPp2/6r1/1P4np/5PBP/6P1/R2K1BNR
15,2r2k2/3npB2/4P2r/pp1Pqp1p/P4P2/1p5P/4B3/3NK1NR
16,rn1k4/p4qb1/5p1r/PppP1p2/7P/Q2PpP2/1B2N2K/1N2R3
17,r4bB1/1b1p1p2/1p1k4/2Bp4/7P/p3PK2/2P5/4R3
18,8/1kPr4/p6p/PB4r1/N5p1/R6P/7n/K5BR
19,4r3/bn6/k2p1P2/7p/P5pP/1R3BP1/3KNR2/B7
20,7b/r7/1B5Q/P2k4/7r/1p3pq1/3P1R2/1R2K1b1
21,1rb2b1r/pp1kqp1p/3pp1pn/P1B5/2P4P/1P2P3/n1NPNPPR/R2QKB2
22,rn1qkbnr/1p2pp1p/p7/2Pp1bp1/PPN2P2/B7/2P1P1PP/R2QKBNR
23,3r1b2/2p5/pP2k2p/3n1b1P/2p1p1p1/NQ2P3/5R2/4KB2
24,RN6/7n/1b6/3kP1P1/2p5/5r2/4N3/1NBK1B1R
25,2rqk3/2pnp1b1/2b2P2/Pprp3p/PB2n1pP/3PPPN1/2P4Q/RN2KB1R
26,1n6/rb1q1pk1/2p2n2/ppPp2P1/P2Pp3/1P2B2N/1Q1bP3/R1NK1B1r
27,1R4r1/3k2p1/3P4/5b1p/7n/P5r1/8/7K
28,rk5r/qp2np1p/p1P5/8/4Pb1P/NPKPB1p1/P4PPR/R4B2
29,rn1qkbr1/3bpppp/1pp5/pB2R2n/1P5P/N3pP2/P1PP2P1/1RB1K1NQ
30,1r5r/4b3/5nkp/1p2ppP1/B1pP1qP1/p2b1N2/P1P3KR/2n1B3
31,8/4b3/8/P1R5/3PK1k1/1p1P4/6R1/5BN1
32,3b2nr/4k3/R1Q2p2/2Pqp2p/3pPP2/3P3P/p7/R1B1Kn1B
33,8/1b2k3/4np2/1p2R2P/N6P/PP1P4/5n2/R2K4
